melspectrogram,spectral_centroid,spectral_bandwidth,chroma_stft,zero_crossing_rate,rms,chroma_cqt,chroma_cens,spectral_rolloff
0.030816667,2463.7708865914515,1802.6295982672877,0.4257334,0.50554544,0.27482617,4511.403729838709,0.2095435357862903,0.2095435357862903
0.18123853,1706.6614019452616,1508.0985900350609,0.3615111,0.46098197,0.2645937,3087.9966085271317,0.1183078972868217,0.1183078972868217
0.10164986,2115.7082915957644,1849.1232871555953,0.4186037,0.497703,0.2695843,4169.164540816327,0.13854731345663265,0.13854731345663265
0.16730243,1481.4779515285275,1526.3431282307788,0.4297502,0.54667985,0.27860272,2889.5559210526317,0.10756578947368421,0.10756578947368421
0.4360046,1691.0279686668152,1628.2389623454212,0.37772015,0.5207919,0.26767963,3356.5051020408164,0.12332589285714286,0.12332589285714286
0.4496456,1887.9710884362403,1798.0382155740247,0.34622234,0.43507248,0.25426415,3707.5264084507044,0.13119291923415494,0.13119291923415494
1.1674738,1169.415367619471,1475.2667764654027,0.356297,0.4515575,0.25487736,2311.7745535714284,0.05625697544642857,0.05625697544642857
0.19302833,1571.78352125249,1587.9734717539723,0.34833857,0.4272592,0.2595597,2971.086448598131,0.11290705315420561,0.11290705315420561
0.21896975,1587.6477805561715,1431.640578078867,0.328865,0.4211449,0.26745224,2929.5258620689656,0.11937971443965517,0.11937971443965517
1.0217549,1466.2796087862223,1459.9375907279955,0.44962704,0.5924751,0.27790135,3122.9910714285716,0.11167224702380953,0.11167224702380953
0.11844603,2235.635975555111,1640.5124122206425,0.37036434,0.44273674,0.26184076,3816.6940789473683,0.18120888157894738,0.18120888157894738
0.23335789,1401.2584268021449,1456.4014738371545,0.40446985,0.46654195,0.25847712,2596.7915076335876,0.10328825739503816,0.10328825739503816
1.8614587,1766.2614428082943,1479.5928252186472,0.40565407,0.43407023,0.2673562,3271.547379032258,0.1411684097782258,0.1411684097782258
1.1683564,1309.6353099682399,1332.6920223792456,0.3062044,0.3829393,0.2502098,2462.020420792079,0.07685836943069307,0.07685836943069307
3.7929506,1498.0078631615404,1470.8400644687024,0.35704312,0.42981446,0.27239272,2897.6483585858587,0.09665995896464646,0.09665995896464646
2.8581812,885.8885198756369,1060.1074641908872,0.31163207,0.39998078,0.2573538,1767.5212378640776,0.06392217839805825,0.06392217839805825
0.2232881,1514.3403597608394,1437.4082872911533,0.36522084,0.41769305,0.25324386,2840.1918316831684,0.1141756265470297,0.1141756265470297
0.2645401,1177.0350273342647,1545.787191441196,0.43494412,0.47799376,0.2730683,2308.168316831683,0.06168297493811881,0.06168297493811881
0.7745949,1074.671060139564,1277.2891712403245,0.36326033,0.35446692,0.23279954,1912.5256147540983,0.07537541623975409,0.07537541623975409
1.1307938,1755.600561510953,1697.797159199595,0.33879963,0.44861695,0.26124224,3377.004523026316,0.14129959909539475,0.14129959909539475
0.5797554,1593.4650335409212,1506.1386623264407,0.34097323,0.46272072,0.26064685,3046.0642688679245,0.12324034492924528,0.12324034492924528
0.8909485,1494.8975444613918,1481.4700820642202,0.35267565,0.44869077,0.26195914,2684.769417475728,0.11078769720873786,0.11078769720873786
1.132529,1334.7898621339941,1383.2609076782148,0.3123736,0.38637254,0.2484675,2596.389358108108,0.07847141575168919,0.07847141575168919
1.047267,1901.8411406030343,1710.05416175908,0.35011473,0.4470782,0.26631412,3514.748086734694,0.1584422831632653,0.1584422831632653
0.50469667,1384.5945003900472,1670.6567032084192,0.2696336,0.36204743,0.23939025,2756.155303030303,0.06980449021464646,0.06980449021464646
3.078203,946.9822546638843,1128.0738893967227,0.37143207,0.48180002,0.2681605,1755.9577338129495,0.061147566321942445,0.061147566321942445
0.73001033,1667.2078313087884,1468.2319389171205,0.391546,0.45527145,0.26867187,3116.217672413793,0.15192955280172413,0.15192955280172413
